area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
116096,513554,0.226063861,14454.78383,1015,708,8398,15,722.3630981,571.1726074,72.60514069,0.612203625,2021.10.11-16.23.09_RaspiY_side7_cameraA
97546,405172.5,0.240751779,18383.726,860,758,6677,17,738.2401123,409.5083008,99.02985382,0.832044546,2021.10.11-15.37.54_RaspiY_side6_cameraA
44680,593303.5,0.075307157,14370.03731,1008,906,7479,11,1058.991943,714.5310059,87.27554321,0.738066918,2021.10.11-16.16.36_RaspiY_side2_cameraA
40292,390769,0.10310951,10964.92566,844,853,6278,12,6194.321289,2093.231201,0,0.941172162,2021.10.11-15.42.35_RaspiY_side6_cameraA
67358,637597,0.105643533,16803.48826,958,904,7932,12,794.1732178,706.3036499,65.2987442,0.457213095,2021.10.11-16.36.44_RaspiY_side3_cameraA
28322,585676.5,0.048357754,16809.32684,1034,819,7551,9,662.6525269,509.6151123,81.46260834,0.639184654,2021.10.11-14.31.38_RaspiY_side3_cameraA
74756,441354,0.169378775,11246.09217,951,812,6547,13,6045.583496,1493.402222,44.18919754,0.969009446,2021.10.11-14.50.46_RaspiY_side2_cameraA
97542,692681,0.140818068,14207.95494,1089,819,7204,12,921.3764648,442.7550964,88.27828979,0.876974683,2021.10.11-14.53.25_RaspiY_side1_cameraA
92387,598778,0.154292576,20873.56313,1085,810,7631,11,830.1378784,404.0010681,83.00556183,0.873587324,2021.10.11-15.06.44_RaspiY_side7_cameraA
81013,523145.5,0.154857492,8864.592378,776,880,6258,14,722.0617065,533.5262451,132.406723,0.673822922,2021.10.11-16.15.25_RaspiY_side7_cameraA
53636,554770,0.096681508,8687.497423,1136,814,7184,14,1717.058838,653.3460083,108.6520386,0.924779693,2021.10.11-14.52.22_RaspiY_side2_cameraA
265705,666357,0.398742716,12955.35104,962,951,7039,20,808.2145386,726.8812256,159.353363,0.437195124,2021.10.11-15.08.12_RaspiY_side5_cameraA
111323,562211,0.198009288,13501.30785,974,851,5591,15,811.4647827,591.1957397,114.4937973,0.684988599,2021.10.11-16.32.52_RaspiY_side4_cameraA
56691,671634,0.084407579,12788.70227,1224,876,8024,11,988.315918,504.9000244,115.3284607,0.859658539,2021.10.11-15.56.57_RaspiY_side2_cameraA
57444,472373.5,0.12160716,19327.55961,953,875,7430,13,948.7589111,362.5255737,121.2355652,0.924118893,2021.10.11-15.27.44_RaspiY_side3_cameraA
97733,483501,0.202136087,10166.39623,963,852,7183,10,804.6018066,641.1107788,103.564888,0.604236477,2021.10.11-16.32.52_RaspiY_side5_cameraA
35909,352613.5,0.101836714,12183.50538,776,860,6509,16,767.4596558,364.2631226,133.6602325,0.880182782,2021.10.11-16.20.59_RaspiY_side5_cameraA
145123,514123.5,0.282272645,9617.768537,999,756,7182,9,856.1552124,595.4251099,75.74559021,0.718560961,2021.10.11-16.17.36_RaspiY_side7_cameraA
29702,520024,0.057116595,13051.05218,827,847,7445,14,759.1583252,462.2390137,130.1024933,0.793259621,2021.10.11-15.37.05_RaspiY_side1_cameraA
60383,503953.5,0.119818594,26472.07398,1138,766,8322,15,1219.596313,388.605835,101.6026611,0.947877556,2021.10.11-15.37.54_RaspiY_side4_cameraA
27460,322186.5,0.085230138,16477.15915,691,794,5132,7,1615.119507,870.781189,0,0.842213918,2021.10.11-14.43.56_RaspiY_side3_cameraA
51433,516096.5,0.099657719,21918.8764,1153,802,7713,11,1242.230713,803.3890991,53.45811081,0.762718183,2021.10.11-14.38.47_RaspiY_side5_cameraA
144231,751048,0.192039657,14201.65237,1387,908,9910,24,1434.411865,653.5878296,62.15779114,0.890159709,2021.10.11-16.18.33_RaspiY_side6_cameraA
114812,408313,0.281186247,10702.58938,879,820,6922,19,779.6226807,398.1362915,120.7400742,0.859771945,2021.10.11-16.05.28_RaspiY_side7_cameraA
71283,709655.5,0.10044733,9939.125979,1068,895,7782,23,2654.078125,1250.698608,111.0722733,0.882006869,2021.10.11-16.36.44_RaspiY_side4_cameraA
28641,460192,0.062237066,8067.355728,957,841,7496,10,1372.722778,772.486145,38.26393509,0.826633889,2021.10.11-16.11.52_RaspiY_side4_cameraA
180801,683483,0.264528891,10831.22805,1079,810,7816,13,930.053833,558.9597168,92.44029236,0.799251154,2021.10.11-15.19.31_RaspiY_side7_cameraA
49607,548635,0.090418949,17838.49492,979,848,7149,13,846.9678345,550.4974976,119.7032166,0.759966113,2021.10.11-16.04.06_RaspiY_side5_cameraA
78061,626261.5,0.124646014,25913.9153,961,851,6963,16,655.2192383,610.630249,57.12306213,0.362591992,2021.10.11-15.18.36_RaspiY_side6_cameraA
39000,479512.5,0.081332603,15181.57939,862,841,5859,15,896.9857788,835.3099976,127.6775589,0.364403715,2021.10.11-15.23.35_RaspiY_side2_cameraA
130705,605051.5,0.216022934,10796.973,1215,847,7954,17,975.0126953,553.5501099,94.50814819,0.823210473,2021.10.11-15.48.22_RaspiY_side6_cameraA
